Output Areas Code,HHD_dep_education_PC,HHD_dep_employment_PC,HHD_dep_health_PC,HHD_dep_housing_PC
E00053630,0.2318840579710145,0.2898550724637681,0.43884892086330934,0.30434782608695654
E00053631,0.3103448275862069,0.20689655172413793,0.34965034965034963,0.27586206896551724
E00053632,0.2857142857142857,0.2777777777777778,0.4523809523809524,0.256
E00053633,0.4645669291338583,0.2677165354330709,0.31496062992125984,0.171875
E00053634,0.42771084337349397,0.20481927710843373,0.37349397590361444,0.25903614457831325
E00053635,0.3230769230769231,0.3053435114503817,0.4696969696969697,0.3053435114503817
E00053637,0.2923076923076923,0.3153846153846154,0.5,0.1450381679389313
E00053638,0.4117647058823529,0.2645161290322581,0.535483870967742,0.17419354838709677
E00053639,0.41605839416058393,0.35036496350364965,0.45985401459854014,0.1259259259259259
E00053640,0.3411764705882353,0.22941176470588234,0.4823529411764706,0.2
E00053641,0.27972027972027974,0.1958041958041958,0.3776223776223776,0.11188811188811189
E00053642,0.291044776119403,0.13432835820895522,0.29850746268656714,0.1259259259259259
E00053643,0.18571428571428572,0.16428571428571428,0.30714285714285716,0.05714285714285714
E00053644,0.152,0.06299212598425197,0.288,0.04
E00053645,0.27607361963190186,0.14814814814814814,0.35802469135802467,0.06172839506172839
E00053646,0.15151515151515152,0.10101010101010101,0.3282828282828283,0.020202020202020204
E00053647,0.2230769230769231,0.08461538461538462,0.3384615384615385,0.015384615384615385
E00053648,0.44776119402985076,0.26865671641791045,0.5447761194029851,0.06716417910447761
E00053649,0.25225225225225223,0.08256880733944955,0.3333333333333333,0.0990990990990991
E00053650,0.3870967741935484,0.23076923076923078,0.48717948717948717,0.0641025641025641
E00053651,0.21551724137931033,0.0782608695652174,0.3879310344827586,0.034482758620689655
E00053652,0.546875,0.4609375,0.6614173228346457,0.1640625
E00053653,0.23529411764705882,0.09243697478991597,0.3305785123966942,0.03361344537815126
E00053654,0.41605839416058393,0.21052631578947367,0.4552238805970149,0.10526315789473684
E00053655,0.23484848484848486,0.08333333333333333,0.3333333333333333,0.05303030303030303
E00053656,0.13095238095238096,0.08333333333333333,0.20238095238095238,0.047619047619047616
E00053657,0.27932960893854747,0.09497206703910614,0.3575418994413408,0.0335195530726257
E00053658,0.16541353383458646,0.11940298507462686,0.3308270676691729,0.09090909090909091
E00053659,0.28205128205128205,0.10256410256410256,0.37606837606837606,0.09401709401709402
E00053660,0.23931623931623933,0.09401709401709402,0.2905982905982906,0.07692307692307693
E00053661,0.291044776119403,0.15037593984962405,0.3082706766917293,0.03787878787878788
E00053663,0.12698412698412698,0.1935483870967742,0.304,0.144
E00053664,0.1875,0.1484375,0.3779527559055118,0.1796875
E00053665,0.21481481481481482,0.15671641791044777,0.34328358208955223,0.16058394160583941
E00053666,0.21468926553672316,0.1853932584269663,0.41714285714285715,0.07909604519774012
E00053667,0.25225225225225223,0.10909090909090909,0.27927927927927926,0.13513513513513514
E00053668,0.23076923076923078,0.24615384615384617,0.4076923076923077,0.13076923076923078
E00053670,0.33076923076923076,0.23846153846153847,0.4307692307692308,0.19230769230769232
E00053671,0.48695652173913045,0.06086956521739131,0.5258620689655172,0.09565217391304348
E00053672,0.3208955223880597,0.16417910447761194,0.4148148148148148,0.1044776119402985
E00053673,0.3014705882352941,0.1323529411764706,0.34558823529411764,0.16176470588235295
E00053674,0.2631578947368421,0.22556390977443608,0.38345864661654133,0.16417910447761194
E00053675,0.38686131386861317,0.24817518248175183,0.45985401459854014,0.051094890510948905
E00053676,0.3,0.20422535211267606,0.5,0.19285714285714287
E00053677,0.45,0.34306569343065696,0.55,0.07857142857142857
E00053678,0.4012738853503185,0.25949367088607594,0.41139240506329117,0.06329113924050633
E00053679,0.2620689655172414,0.1793103448275862,0.4206896551724138,0.06206896551724138
E00053680,0.3923076923076923,0.16153846153846155,0.3893129770992366,0.16793893129770993
E00053681,0.3284671532846715,0.16666666666666666,0.40145985401459855,0.12408759124087591
E00053682,0.2868217054263566,0.10077519379844961,0.3798449612403101,0.10077519379844961
E00053683,0.2323943661971831,0.06382978723404255,0.28169014084507044,0.04225352112676056
E00053684,0.44036697247706424,0.21818181818181817,0.5462962962962963,0.11818181818181818
E00053685,0.3383458646616541,0.13533834586466165,0.3233082706766917,0.05970149253731343
E00053686,0.31724137931034485,0.10344827586206896,0.33793103448275863,0.05517241379310345
E00053687,0.2814814814814815,0.07407407407407407,0.41044776119402987,0.02962962962962963
E00053688,0.10948905109489052,0.06569343065693431,0.2426470588235294,0.06569343065693431
E00053689,0.12195121951219512,0.04032258064516129,0.21138211382113822,0.008
E00053690,0.08264462809917356,0.04918032786885246,0.28688524590163933,0.0
E00053691,0.2,0.048,0.352,0.016
E00053692,0.1456953642384106,0.046357615894039736,0.23841059602649006,0.013245033112582781
E00053693,0.12686567164179105,0.015037593984962405,0.2706766917293233,0.007518796992481203
E00053695,0.08888888888888889,0.007407407407407408,0.21481481481481482,0.02962962962962963
E00053696,0.2608695652173913,0.0189873417721519,0.3037974683544304,0.006329113924050633
E00053697,0.30434782608695654,0.1391304347826087,0.3826086956521739,0.034782608695652174
E00053698,0.19424460431654678,0.09352517985611511,0.3669064748201439,0.014388489208633094
E00053699,0.21138211382113822,0.04878048780487805,0.2644628099173554,0.04065040650406504
E00053700,0.11392405063291139,0.05531914893617021,0.2838983050847458,0.029661016949152543
E00053701,0.2153846153846154,0.10687022900763359,0.33076923076923076,0.06060606060606061
E00053702,0.145985401459854,0.07246376811594203,0.3188405797101449,0.050724637681159424
E00053703,0.3523809523809524,0.21904761904761905,0.49523809523809526,0.23809523809523808
E00053704,0.1346153846153846,0.10256410256410256,0.25,0.057692307692307696
E00053705,0.24817518248175183,0.0364963503649635,0.291970802919708,0.021897810218978103
E00053706,0.13953488372093023,0.06976744186046512,0.36153846153846153,0.007751937984496124
E00053707,0.1276595744680851,0.06428571428571428,0.29285714285714287,0.04285714285714286
E00053708,0.2459016393442623,0.16393442622950818,0.36065573770491804,0.024390243902439025
E00053709,0.06,0.026845637583892617,0.20134228187919462,0.006711409395973154
E00053710,0.1532258064516129,0.08,0.328,0.04
E00053711,0.20588235294117646,0.03676470588235294,0.29927007299270075,0.051094890510948905
E00053712,0.302158273381295,0.08571428571428572,0.3357142857142857,0.08571428571428572
E00053713,0.15037593984962405,0.015037593984962405,0.2857142857142857,0.022727272727272728
E00053714,0.2733333333333333,0.087248322147651,0.30201342281879195,0.06711409395973154
E00053715,0.10236220472440945,0.05555555555555555,0.35772357723577236,0.048
E00053716,0.18579234972677597,0.07103825136612021,0.33879781420765026,0.03825136612021858
E00053717,0.23308270676691728,0.12781954887218044,0.39849624060150374,0.06766917293233082
E00053718,0.15492957746478872,0.0,0.24822695035460993,0.02112676056338028
E00053719,0.20915032679738563,0.0392156862745098,0.3137254901960784,0.013071895424836602
E00053720,0.192,0.04,0.272,0.048
